Source,Target,value,nb_transactions
SlushPool.com,292,5039993693,1
21503424,265,170530000,2
999Dice.com,536,381438,1
72286880,2652,36790000,1
33291,690674,171765450,1
5269835,GermanPlazaMarket,48554561,1
ePay.info_CoinJoinMess,6075,212577267708,3
1422856,BTC-e.com,130887631,1
20042,255623,14935384,1
1285711,CloudBet.com,107815149820,7
536,Bitcurex.com,2519933,1
71005802,1582,143539273,6
Hashnest.com,CloudBet.com,9137639,1
33291,70534569,288526875,2
20062,417,116434748,2
1174704,ePay.info_CoinJoinMess,1789543,2
SlushPool.com,1539,2525866743,1
Bitcoin.de,BitPay.com,2504403786,33
72707270,10196,5666357,2
69461345,513,1695700,1
98957,CoinTrader.net_LocalBitcoins.com,70000,7
Genesis-Mining.com,2682096,71538674,1
6355,154,1870738791,1
999Dice.com,HolyTransaction.com,78315107,8
Genesis-Mining.com,4395,71538674,1
28663,Cex.io,9994100,1
73754014,FortuneJack.com,36817,1
4736,69696572,6040000,1
524565,29562533,1999990000,1
Xapo.com,3368,11038181,1
72655174,BitPay.com,839841613,1
73989661,20042,6766919965,65
70953024,72129912,155519751,1
39030,Betcoin.tm,52980,1
2990531,BTCLend.org,4494794414,2
Xapo.com,Cubits.com,257631442,12
49319582,73310495,3510036,1
424,2226,409406935287,34
Huobi.com,860,235854540,1
31707,Cex.io,638332358,2
1654888,ePay.info_CoinJoinMess,996098005,1
BtcTrade.com,6748,721700023,1
1116,OKCoin.com,815855192,1
2990531,23702,2498567735,1
Cex.io,1316,3409456,1
71213035,860,39690000,1
4208,80735,5038708,2
73466962,3982,9600000,1
1095,56445348,4509573,1
Hashnest.com,10139708,9539934,1
2990531,4232919,5662800485,3
1228047,Luno.com,7407585286,21
888,69749374,119910800,3
ePay.info_CoinJoinMess,4499,42911380,2
FaucetBOX.com,2329,10901577,1
33291,71921391,459049202,2
74330584,CoinTrader.net_LocalBitcoins.com,4780993192,4
72655543,424,471725086,3
269,Poloniex.com,7948305,1
0,Cubits.com,16209150,4
ePay.info_CoinJoinMess,69591287,70859089236,1
Purse.io,AgoraMarket,34588418,1
ePay.info_CoinJoinMess,6257363,70859089236,1
2990531,72524435,916962029,1
2990531,74120634,2326278178,1
33291,33444,459049202,2
69459812,Xapo.com,54453850,1
10231195,937,22058720,10
9244996,20488,21100000,1
5000,24438,13412000,2
999Dice.com,FaucetBOX.com,358020,2
Xapo.com,348,343925057,10
72129912,289,57972233,2
ePay.info_CoinJoinMess,4395,1525961681188,21
3057173,999Dice.com,1165772,1
0,AbraxasMarket,441624154,1
Xapo.com,937,13697528,1
898,CoinTrader.net_LocalBitcoins.com,386182627,1
821,31311,20004412207,1
71319615,999Dice.com,632877,1
39694960,73832613,143601425,1
Hashnest.com,72236394,7990000,1
39694960,70665166,143601425,1
14187714,4,163950000,1
71476897,Kraken.com,3099135570,5
Bitstamp.net,CoinKite.com,882019905,1
1521303,CoinPayments.net,11838478,1
999Dice.com,289,1782104,4
354,763,4864251146,3
2990531,16669,2498567735,1
SlushPool.com,10251,2503674135,1
354,ePay.info_CoinJoinMess,11438917352,8
LuckyB.it,17060189,1000000,1
Genesis-Mining.com,37,526448006,1
39694960,150330,317470914,2
72075381,BitPay.com,43172647,1
2990531,70848997,2261271688,1
73336527,2624,443191788,1
3368,Exmo.com,29759246,1
70821935,FortuneJack.com,233065,1
1589747,1138,6366226,1
33291,16621,1638802384,8
3213628,FaucetBOX.com,108000,1
818721,1576,641830428,1
2226,BitBargain.co.uk,63399990000,1
75854,999Dice.com,25280000,1
72497653,809,904497019,1
2707795,GermanPlazaMarket,21576229,1
ePay.info_CoinJoinMess,37,29937695,1
Xapo.com,SatoshiMines.com,498669522,16
35049846,NucleusMarket,717673000,1
354,66692,2712084071,2
71319702,ePay.info_CoinJoinMess,10304456,2
71554939,1309,1604977764,6
MaiCoin.com,BTC-e.com,1001000009,1
72995762,71607474,18595548,1
536,69330102,2955219,1
19858133,308045,7022499,1
71554840,70455660,11367417,1
Cex.io,CoinPayments.net,23635701,1
Xapo.com,3752216,142046508,1
69697250,CoinTrader.net_LocalBitcoins.com,5403380000,6
SlushPool.com,CoinKite.com,2503674135,1
71031807,BTC-e.com,27642651,1
2990531,229097,2263233496,1
16962,255623,518233075,2
39694960,421,7916676299,43
71005802,1469,5858764,1
ePay.info_CoinJoinMess,44885,70859089236,1
BitPay.com,BTC-e.com,4711844,2
2344925,69250382,1990410,1
73413077,Cryptsy.com,42252462,2
2990531,72838934,2233522726,1
2344925,515376,4238625,1
FaucetBOX.com,HitBtc.com,8036766,1
3368,602820,119036984,4
0,7351,280010,1
137744,Hashnest.com,1965300,2
3368,29392,29759246,1
20042,1391,2226962,1
CoinKite.com,4,18628713000,101
1654888,Poloniex.com,697487748,1
354,1309,18344570649,14
2990531,1941,28288707455,17
ePay.info_CoinJoinMess,71790367,1537180000,1
FortuneJack.com,YoBit.net,11005051,1
42601,71291580,273413982,1
1521303,72104691,17477516,1
0,Bittrex.com,81544442,6
2990531,CoinPayments.net,7150085811,5
354,269,8796874158,8
2990531,12527,2293402020,1
FoxBit.com.br,Bitfinex.com,2399990000,1
HolyTransaction.com,999Dice.com,6006784,4
5941,BTC-e.com,34000000,1
BitcoinWallet.com,AbraxasMarket,101000411,1
72104556,ePay.info_CoinJoinMess,476866017,1
5162,424,524459352,1
71005802,Exmo.com,110231604,5
NitrogenSports.eu,PrimeDice.com,699980000,1
69121421,CoinSpot.com.au,51756488,1
101,CoinTrader.net_LocalBitcoins.com,81287025,4
0,71005802,56055802,1
33291,73545461,459049202,2
3871,10073457,109392347,1
69147828,513,1885719,1
FaucetBOX.com,5623503,7656479,1
0,Hashnest.com,452160201,14
Xapo.com,855,13734275,1
CoinPayments.net,0,174682299,12
39694960,348,461072339,3
