Source,Target,value,nb_transactions
ePay.info_CoinJoinMess,6075,560600671206,6
70770466,368,104084000,3
PrimeDice.com,1582,11000365,1
0,AnoniBet.com,834449,1
71816743,96,15090473,1
73413077,1598,27400827,1
69513979,71240888,10824127,1
454,45004,39045301431,1
NucleusMarket,CoinKite.com,143166011,1
4126,GoCelery.com,101588339,11
4126,Cex.io,9938103,1
74330515,Bitstamp.net,58021244524,11
Rollin.io,PrimeDice.com,2566700,1
12431,200144,265948261,1
1386,351,2046242,1
Xapo.com,833,6675961611,6
51364,50421,83340881,1
49998,52610,1010598341,1
57,101,6059234,1
2230,189,52903077,1
PrimeDice.com,227,208054939,5
2624,BTC-e.com,29286326,1
73649740,71607465,81127914,1
72472364,71501139,50980000,1
Kano.is,0,392584510188,156
3368,1598,83721490,6
52503,41213,242691067,1
73807082,LocalBitcoins.com,760125540,1
Genesis-Mining.com,2739057,602517236,1
354,35,2013564191,3
45048181,ePay.info_CoinJoinMess,223362936,1
AlphaBayMarket,CloudBet.com,23706951,4
NucleusMarket,999Dice.com,67900000,1
FaucetBOX.com,72104691,28618593,1
MoonBit.co.in,2725807,513705799,2
60,0,999988919,1
Kano.is,8577123,2516567373,1
59589,NucleusMarket,153839800,1
69382155,777,17468,1
1103087,4,40240433,3
BitoEX.com,Bittrex.com,518137804,2
60,1316,999989785,1
64740,9904952,64931901,1
26515,61,103236565,1
107,386,2613740202,1
74330515,417,4686292000,2
73046041,57,226248560,2
46013,144727,11894669,1
71816350,56097,1468555405,1
906,290,563894927,2
BTCJam.com,MercadoBitcoin.com.br,4139013,2
1116,Poloniex.com,113068489,2
69355907,860,71827360,1
351,4,149404729,52
70167327,CoinPayments.net,1955480,2
FaucetBOX.com,441956,123455031,2
1226470,Bitcoin.de,89490914,1
21112,ChBtc.com,1501059020,1
Bter.com,354,143782918,4
CoinPayments.net,315,3395500,1
351,1294,6241442,2
70063031,70875337,12875000,1
BitVC.com,424,13692338001,5
1578,368,17960000,1
152,396,11776404514,47
46955,354,2476839,1
Rollin.io,4,46663012,15
39799,605,4348188068,2
629,0,16628244,2
72262753,50637,2599990000,1
37595,CoinGaming.io,4967062,1
BitVC.com,Btc38.com,206511919,2
Genesis-Mining.com,65097,123622791,1
3368,227,57696315,5
71263388,69827813,74616000,1
2141,290,196480000,2
Cryptonator.com,51,3264000,1
612782,290,199999847772,2
ePay.info_CoinJoinMess,HitBtc.com,93433445201,1
70534041,69984714,124810000,1
33291,1294,41055715,1
6652,Bleutrade.com,6525488,1
ePay.info_CoinJoinMess,69173124,2455380000,1
308045,1747,3362956000,53
Genesis-Mining.com,16621,615186501,2
69147640,96,108569417,1
Cryptonator.com,629,1410594,1
HaoBTC.com,525,343880400,1
19396424,Poloniex.com,203777463,1
SlushPool.com,BTC-e.com,70754931556,20
72078429,70664073,30225246,1
FortuneJack.com,1144,6776224,1
6355,OKCoin.com,902812530,2
NucleusMarket,6103,197574025,5
50365,50868,1306340941,1
72757143,96,12724207,1
74068096,70429832,780000000,400
3368,6919,19808362,1
351,152,10712100,2
39694960,HolyTransaction.com,27429777,1
Hashnest.com,2238,1120290,1
4908,30899,116370251,3
AlphaBayMarket,71058153,3000000,1
CoinPayments.net,5276159,4910885,1
73441079,2652,13051650,1
73858803,70638958,11019276,1
1227,860,170189401,2
61059670,655,55754707,2
Poloniex.com,Cubits.com,1683879914,2
Huobi.com,472,7991118809,2
66226329,4,61867776,4
3594434,61,4999913172,39
Paymium.com,CoinTrader.net_LocalBitcoins.com,579731379,1
ePay.info_CoinJoinMess,BTCC.com,10090812081708,108
71554939,1138,1794700394,2
GermanPlazaMarket,69513979,1084677429,68
64769,1309,6629061,1
73807167,74223168,61108430,1
71163099,1309,120000,1
AlphaBayMarket,356160,4100000,1
71816350,315,135393525,1
5542047,OKCoin.com,183357700,1
1316,4,1828280164,1
70953245,Btc38.com,997563240,1
Cryptonator.com,CoinTrader.net_LocalBitcoins.com,447873836,1
2141,Huobi.com,7537814242,10
Genesis-Mining.com,74147200,2217463200,1
SatoshiMines.com,700,1256636,1
6355,BTC-e.com,1354218795,3
73779840,71738318,2754761,1
Hashnest.com,BTC-e.com,278541879,2
50490,72262753,2599540000,1
60,1769,999988919,1
51987,72262753,2602200000,1
1116,386,120763275,3
8064,ePay.info_CoinJoinMess,138016013,1
72865528,999Dice.com,965376,1
MoonBit.co.in,1539,511809932,1
SlushPool.com,424,2514091618,1
735,Cryptonator.com,1091969,1
Genesis-Mining.com,995,3422497672,3
71814900,MeXBT.com,23355010,1
72419729,195,56670689,1
24621623,1316,23463570,5
Genesis-Mining.com,64471563,4434926400,2
2990531,Bleutrade.com,90235605,3
73336533,331,24433991507,8
0,1582,420895,2
Genesis-Mining.com,70141551,12669265,1
0,1443830,195771868,2
342,Poloniex.com,1105434500,1
BX.in.th,Cex.io,1621766729,2
0,2024,590458,1
Xapo.com,2922,1056088210,1
107,898,6840369402,3
HaoBTC.com,424,4852630096,1
Genesis-Mining.com,219804,2217463200,1
30052,454,1118472853,1
72446364,368,25426724,1
SlushPool.com,Genesis-Mining.com,30327473798,8
60,809,1900259685,3
51464,50509,695588879,1
73336533,57,3384822550,1
51294,50799,61383241,1
28669643,LocalBitcoins.com,29830000,1
2990531,CoinKite.com,1280884133,1
3319,999Dice.com,4972140,1
Purse.io,71658765,96333124,1
Exchanging.ir,AlphaBayMarket,30712930,1
134509,Xapo.com,20353872,1
51,1309,6457280,1
FaucetBOX.com,162,8242565,1
FaucetBOX.com,69958594,7521583,1
37904064,70323168,59294043,1
342,Xapo.com,320794900,1
Huobi.com,421,3641019653,8
70953245,Xapo.com,1995126480,2
69749680,ePay.info_CoinJoinMess,12163182,1
7655,CleverCoin.com,1740020237,2
454,23512,140604950029,3
Bitstamp.net,38427,4658180399,1
1530097,GermanPlazaMarket,61589598,2
617075,70822744,199990000,1
Xapo.com,37,4186593216,4
Crypto-Games.net,Poloniex.com,1195644,1
52293,51809,99990000,1
Exchanging.ir,Bitcoin.de,137740633,1
31156,Poloniex.com,1029954393,1
47654,354,7011869,2
13864293,BTC-e.com,237059950,1
69775711,BTC-e.com,45658207,1
74251985,69955051,81959453,1
131,417,2432622000,1
73205038,72367215,91884922,1
Kano.is,1294,5033134746,2
72025707,238,1742001642,2
CoinPayments.net,74252306,7367325,3
57,107,4075468,1
2385549,SecondsTrade.com,134969990,1
68211955,401,157009984,3
70796482,73832987,5769983,1
3368,69512699,22057438,2
4908,Xapo.com,61247210,2
Hashnest.com,421,46357465,8
Genesis-Mining.com,Loanbase.com,285253377,5
BitBargain.co.uk,74173144,79950000,1
3368,1144,52122454,3
ePay.info_CoinJoinMess,NitrogenSports.eu,96686278567,5
Kano.is,833,5033134746,2
69984672,70141217,13090322,1
70796631,0,92128516,1
31545,454,584190171,2
73807082,73493259,1083765394,1
Genesis-Mining.com,290,615186501,2
1654888,72943309,324752320,1
354,61394841,335761808,1
AlphaBayMarket,60,303703207,3
72446493,BTC-e.com,149533242,2
SpectroCoin.com,5540,7140291620,4
483243,OKCoin.com,3079542100,2
1228047,999Dice.com,47621132,1
SlushPool.com,74068442,3017688415,1
71842975,71188876,100105413,2
AlphaBayMarket,777,87200000,1
Genesis-Mining.com,2329,12669265,1
60,2640,1999978703,2
Bitstamp.net,70965830,18187921,1
700,BTC-e.com,1101400,1
69487824,2652,17647175,1
50365,51082,1346310443,2
2896419,1747,262792080,20
72052093,513,2182864,4
999Dice.com,45071182,19977279,1
348,4,138100005,1
71790178,18831,3252489,1
41035,50606,49990000,1
71735108,GermanPlazaMarket,492972862,1
41334,52236,969350000,1
468,Exmo.com,7203198,1
73441091,73648988,888417200,1
HolyTransaction.com,11031,4640420,3
51830,50380,903132880,1
50606,70369,336101343,1
MoonBit.co.in,227,48888938,1
FaucetBOX.com,Bittrex.com,1498969018,78
Genesis-Mining.com,318683,12669265,1
Loanbase.com,16621,2417417,1
Coinichiwa.com,1918,2010262,1
73205038,45298568,12653277,1
612782,BitVC.com,199999847772,2
641,289,1862240,1
HaoBTC.com,368,10014382,1
74274392,BitAces.me,36095749,1
2990531,5267096,1286215083,1
69147640,AlphaBayMarket,533039858,1
52623487,421,23865133,1
Genesis-Mining.com,37003,602517236,1
2231466,ePay.info_CoinJoinMess,1968495536,1
FaucetBOX.com,57,267363088,16
NitrogenSports.eu,83162,45239200,1
72104676,566,14339130,1
53194,51262,999990000,1
1300,Poloniex.com,110032950,1
57,CoinPayments.net,10802141,5
1022532,641,51332740,2
2990531,NitrogenSports.eu,52031671,1
73963643,71869225,2039234,1
69851325,368,9522746,1
CoinPayments.net,72891495,3650015,1
351,331,21338270,7
5542047,73284596,269142687,1
74330584,SatoshiMines.com,1206076406,1
57,PrimeDice.com,5448164,2
71554939,227,64757672,1
Xapo.com,YoBit.net,18866971300,18
CoinPayments.net,605,2612400,1
354,74015893,667327631,1
354,1309,4030668829,7
Xapo.com,ePay.info_CoinJoinMess,110276061016,92
2990531,70822184,9873000,1
69906437,5137,7948450053,1
0,891,1383548,1
269,YoBit.net,4461599,2
126,ePay.info_CoinJoinMess,15693243304,4
0,1598,282336,1
73128,70369,10380000,1
2990531,1582,150622411,5
73648551,73832987,239133221,4
Paymium.com,ePay.info_CoinJoinMess,6665484920,1
50423,51216,149626276,1
72078429,73309045,31378961,1
ePay.info_CoinJoinMess,71137091,5349020000,1
Hashnest.com,641,6367683,1
4908,Poloniex.com,175105545,5
PrimeDice.com,71553156,49990000,1
906,PrimeDice.com,99990000,1
Poloniex.com,TheRockTrading.com,342859080,1
Matbea.com,1335,11303587067,45
Huobi.com,4395,1295066037,5
122,Bitstamp.net,1008354149,1
71869225,871,22917054,2
496445,1769,4944000,1
Bitstamp.net,71241267,1218619695,1
74015866,315,1248086652,1
72969995,Hashnest.com,3090194,1
57,71476863,929933,1
8144584,Xapo.com,6758480,1
2329,351,2000888,1
0,289,2011424,4
Genesis-Mining.com,61837026,2819980436,2
71241404,BitAces.me,10910000,2
69539981,69984672,61852828,2
Genesis-Mining.com,72130679,2978384943,3
Bter.com,421,212934318,2
ePay.info_CoinJoinMess,Bleutrade.com,93433445201,1
69121354,4,431486018,2
30818,777,18822016,1
YoBit.net,Cryptsy.com,8958477,1
72367498,BTC-e.com,391266051,1
4126,421,8009979,1
Poloniex.com,1294,2988453722,9
Genesis-Mining.com,72236394,123622791,1
107,Xapo.com,3720017524,7
SlushPool.com,Bitfinex.com,2952618986,1
FortuneJack.com,HolyTransaction.com,4008629,1
Hashnest.com,3120,6101249,1
979448,71842270,86116975,2
49998,51503,1404017643,1
FaucetBOX.com,Xapo.com,57209912551,5343
4186175,16748,7372982497,1
26694903,2652,13058887,1
6554554,Paxful.com,17568637,1
Hashnest.com,5137,95210400,1
906,BTC-e.com,299970000,3
AlphaBayMarket,1227,153575497,2
69367899,2230,237277133,2
17280279,1370,129425,1
71864890,0,409576664,1
73571610,71110892,36331642,1
FortuneJack.com,1539,2261626,2
Xapo.com,308045,1032537721,1
71450190,69984672,17837970,1
144847,354,10791224,1
37865,315,2001093869,1
ePay.info_CoinJoinMess,2799,1068100462,2
417,ePay.info_CoinJoinMess,2068288254,5
FaucetBOX.com,2238,7625483,1
354,4641098,667327631,1
73466840,401,7823716,1
Cryptonator.com,Cryptopay.me,3700010,1
28243748,YoBit.net,1720570885,1
61351,2844,63490000,1
72130719,69278242,235658768,1
73073197,50054,34440000,1
Genesis-Mining.com,162,5284689218,5
PrimeDice.com,0,68668485,6
74276384,7,199404380,1
FaucetBOX.com,21691072,8591130,1
Bitstamp.net,Kraken.com,37416723698,3
ePay.info_CoinJoinMess,72498745,93433445201,1
Bitstamp.net,72235728,2115953822,1
ePay.info_CoinJoinMess,Cubits.com,20006666,3
CoinKite.com,195,2490946,1
BTCJam.com,LocalBitcoins.com,51574774,1
71002730,72548652,41095657,5
3368,BTC-e.com,133479521,9
72758378,368,10268619,2
73857453,811,15751155,3
51153,Xapo.com,40170000,1
ePay.info_CoinJoinMess,2990531,3991914678,86
Poloniex.com,70796633,8865840,7
354,Bter.com,1960170696,3
5271171,CoinPayments.net,559201,2
3053082,71476897,464241382,2
75854,BitAces.me,283492,1
FaucetBOX.com,VirWoX.com,93623934,7
69225864,999Dice.com,42690000,12
35900,AlphaBayMarket,2999969867,1
ePay.info_CoinJoinMess,CloudBet.com,266008282,9
0,523,2787836,1
73441091,50112,619940000,1
52608420,72236394,10121000,3
70062629,368,21850827,1
Kano.is,Luno.com,5033134746,2
1226470,Luno.com,8102517210,15
3368,50267,11554974,1
PrimeDice.com,Poloniex.com,28361432,2
496445,Genesis-Mining.com,4944000,1
49998,50102,1409527643,1
28952305,BTC-e.com,165643238,2
0,101,24799497,1
Poloniex.com,BitVC.com,467413962,2
4908,269,85746646,2
73046041,1598,9990700,1
Poloniex.com,472,37752249765,7
SlushPool.com,107,7632112937,2
21650441,Luno.com,1904272,1
7971692,Hashnest.com,92097203,4
Bitstamp.net,73780544,6098479173,2
Kano.is,Cex.io,7549702119,3
483243,22286811,144201476,1
69722188,73570164,6433285,1
1436,64471563,299968797,1
12936,ePay.info_CoinJoinMess,3547371,1
FaucetBOX.com,19858133,8985363,1
Genesis-Mining.com,13398,123622791,1
906,5325883,422442367,1
73336527,67933107,634994341,2
Huobi.com,Bittrex.com,37960175432,28
5325883,71240479,70043020,1
Kano.is,40231,2516567373,1
4010,BitBay.net,55990000,1
70534041,72128855,62975978,1
71005594,ePay.info_CoinJoinMess,7047663,1
71999710,AlphaBayMarket,5826769,1
2465,BTC-e.com,30793995,1
70953647,69775868,41369964,1
1226470,12651878,245116714,1
524565,LocalBitcoins.com,423736945,1
0,995,1765781,2
35,Bittrex.com,21637099,2
23052521,BTC-e.com,399132557,1
PrimeDice.com,833,1123485,1
YoBit.net,21196,72902102,1
ePay.info_CoinJoinMess,71241457,254540691,1
BX.in.th,Poloniex.com,1203290000,1
69304029,4544,253526000,1
73441080,70796482,362850000,1
69304143,71058615,24824004,1
70298587,368,10363444,1
11678,61,349990000,1
175,SatoshiMines.com,50153525,1
0,942,15288080,6
ePay.info_CoinJoinMess,Btc38.com,6260040828467,67
7798261,965856,22052080,4
72446427,Luno.com,20002865,1
ePay.info_CoinJoinMess,29976439,93433445201,1
ePay.info_CoinJoinMess,71292423,93433445201,1
Xapo.com,777,4138628222,4
999Dice.com,1539,30133345,7
58763,354,9999990000,1
3368,348,41865800,3
71999749,Rollin.io,2360000,1
69147640,ePay.info_CoinJoinMess,370585862,1
Hashnest.com,1576,10990026,1
70586820,70953707,184664964,1
70403439,999Dice.com,140440000,17
Genesis-Mining.com,523,123622791,1
73205038,71136944,426939501,1
Coinichiwa.com,FortuneJack.com,1158127,1
50950,69778,800038101,1
5542047,Paxful.com,249423000,1
SlushPool.com,GoCelery.com,2952618986,1
73649740,71895486,50269872,1
73441080,73806419,283870590,1
70399544,ePay.info_CoinJoinMess,42390000,1
6193,Bitstamp.net,17506598,1
0,73963643,248546,1
MaiCoin.com,Xapo.com,2000405,1
72262770,73807057,13917627,2
1984134,CoinApult.com,215080705,1
69330467,Rollin.io,516178,1
37686970,73753711,26476215,1
2990531,73911137,141366238,2
51753,50475,100610000,1
HolyTransaction.com,855,1090172,1
71215126,LocalBitcoins.com,652265558,2
30818,0,64790645,1
73597842,2652,25627081,1
354,1294,1628604873,3
60,821,999989785,1
Genesis-Mining.com,Huobi.com,2341085991,2
Bitstamp.net,4,12860031279,2
289,Hashnest.com,59720346,1
BitVC.com,290,1197523849,2
72367415,4,765048,1
16021,1539,11590000,1
Bitcoin.de,Coinmate.io,1578389000,2
Xapo.com,10196,2033879291,2
118992,1051338,1545524037,1
1391,0,619033940,33
CoinPayments.net,71214987,3779012,1
HolyTransaction.com,578,1400063,1
BitAces.me,ePay.info_CoinJoinMess,25009863,1
Poloniex.com,61,229992217,1
1747,118992,501124865,1
417,BTCC.com,6712222692,3
73336533,4,12823842930,2
1022532,1144,78815205,1
3368,Bleutrade.com,43642972,3
Bleutrade.com,BTCC.com,30245880,1
72077680,2652,137920128,1
70063369,4544,1865124782,3
OKCoin.com,954,619577576165,65
71816350,Cryptonator.com,6205034945,6
10018926,398,870530000,2
5162,787953,16719358,1
59881034,Poloniex.com,4003111,1
821,HaoBTC.com,301962278,1
69566026,Poloniex.com,73301,1
72103703,71528215,17639144,1
66122,FYBSG.com,15726194,1
70796633,419,13230,1
351,YoBit.net,1214086,1
69723008,4,5494834,2
FaucetBOX.com,175,12206917,1
864,FaucetBOX.com,322491418,1
NitrogenSports.eu,72681637,82102522,1
73046041,4,2563907000,4
524123,CoinTrader.net_LocalBitcoins.com,435980000,1
60,107,4999955739,1
Poloniex.com,269,12979484152,9
351,999Dice.com,1790570,1
472,Bittrex.com,702279697,2
BTCJam.com,Poloniex.com,81374239,2
70927599,71659840,16968085,1
0,7,4672844,1
24621623,OkLink.com,5350711,1
71238640,1218,3986655,1
Bit-x.com,60,2628203968,1
72262922,71998455,182352180,1
417,74173448,2366960000,2
70037420,0,971698351,1
59065,15523721,2828222443,2
