Source,Target,value,nb_transactions
53346,52525,1077803673,1
57,NitrogenSports.eu,1190740383,26
52538,41379,70580000,1
0,2331,10000,1
50542,51056,20360000,1
220,Matbea.com,1100367,1
1918,220,216698,1
Xapo.com,CoinApult.com,19390339,1
52283,51447,1199990000,1
42046,51559,30375000,1
FaucetBOX.com,126,9299460,1
454,31545,8453072937,1
160675,51674,313366170,1
69435335,70377072,79072815,1
FortuneJack.com,NitrogenSports.eu,19043496,4
51280,52011,1986080000,1
52033,52437,567661033,1
Poloniex.com,ChBtc.com,163893216349,4
129,Poloniex.com,309017490,9
51627,53150,100178830,1
Poloniex.com,290,99411969126,2
71084742,1959,12050821,1
MoonBit.co.in,16621,1102994584,5
995,351,21164173,1
50478,Luno.com,11150000,1
52032,51976,101790000,1
51097,51987,102130000,1
4343,60,16041890,1
51081,50425,262282412,1
51008,Luno.com,720000,1
Matbea.com,1335,151164240139,37
Kano.is,32384,3908449303,3
70482014,1747,41728107,4
354,11582,229903657,1
74304268,0,161799918529,27
43774,Bittrex.com,837758,1
ePay.info_CoinJoinMess,1578,4450490,1
0,331,31188951,3
50305,50383,209140000,1
50623,51030,49990000,1
51291,50526,30921922,1
842,Huobi.com,72327891,1
51219,50353,77060000,1
51987,Luno.com,251426500,2
71528823,49,1651892,1
18340295,898,335797270,1
72052207,LocalBitcoins.com,50084786,1
695,Poloniex.com,499965942,1
295687,BtcTrade.com,635512543,2
5325883,74147398,30399146,1
72550958,35,22097082,1
17427381,497,51952440,1
71947431,44,15365671,1
27210,BTC-e.com,33612567,3
52407,41213,421973585,1
289,351,938282,1
ePay.info_CoinJoinMess,Vircurex.com,66404811104,2
Cryptonator.com,ePay.info_CoinJoinMess,9735384,6
51,CoinTrader.net_LocalBitcoins.com,61000513,1
74304268,942,7401036109,1
74304268,71711877,2474544257,1
50791,51986,45590000,1
50557,50351,206084078,1
73153029,2696,80540852,1
71293599,368,5916872,2
SatoshiMines.com,170,1125419,1
365071,Huobi.com,2321687539800,90
49925,50411,300080000,1
70029,41447,32146785,1
17427381,Xapo.com,501189250,10
Xapo.com,3658,40188828,1
1316,ePay.info_CoinJoinMess,580745437,1
51558,51660,58298921,1
50606,51961,500559130,1
70029,51121,1158584732,1
7345,71606262,291266026,1
111896,BtcTrade.com,8669934477,1
Xapo.com,69955,108361913,2
70586635,44,8371440,1
69697250,73701225,6949650000,1
53194,50485,800942710,1
51081,50684,11986406,1
