Source,Target,value,nb_transactions
Vircurex.com,ePay.info_CoinJoinMess,1201302162,2
GHash.io,523,42136835978,3
1538606,6580141,25956763,1
74042306,BTC-e.com,235697019,1
ePay.info_CoinJoinMess,745157,380001634,1
FaucetBOX.com,Bitstamp.net,18853479,1
289,ePay.info_CoinJoinMess,1990181,1
ePay.info_CoinJoinMess,57878368,316924698,1
71711913,BitPay.com,12598822,1
CoinGaming.io,6911159,111008249,1
GHash.io,1956,11871591135,1
FoxBit.com.br,BTCJam.com,971565668,3
13864293,BitPay.com,21874300,1
Comkort.com,BTCJam.com,3770073,2
29227,BTC-e.com,54888106,1
FaucetBOX.com,6216423,8386133,1
Bittrex.com,149405,39890000,1
348,BTC-e.com,670001365,4
ePay.info_CoinJoinMess,38097914,80024119483,1
ePay.info_CoinJoinMess,46209,80024119483,1
Cex.io,CoinGaming.io,7990000,1
ePay.info_CoinJoinMess,71973475,319460243,1
1956,424,20494772453,30
Bitcoin.de,MiddleEarthMarketplace,120280405,1
73937548,265,64392127,1
Bter.com,13335,999990000,1
72890901,CloudBet.com,34197525,6
69251458,11450149,2453970096,1
Genesis-Mining.com,BTCJam.com,6929138209,7
LuckyB.it,1956,1133315,8
ePay.info_CoinJoinMess,1098,246066473,1
71450661,AgoraMarket,23055903,1
1538606,BTC-e.com,31849228,1
SlushPool.com,41194305,5559502431,2
ePay.info_CoinJoinMess,69957841,213777310,1
ePay.info_CoinJoinMess,Btc38.com,7202202073056,91
1848635,Loanbase.com,231427430,1
70218343,294,33145000,1
Igot.com,BTCJam.com,215840000,1
62011178,175,142529,1
3576172,BTC-e.com,201990000,1
71554939,HolyTransaction.com,387865885,1
37904064,ePay.info_CoinJoinMess,12406210,2
ePay.info_CoinJoinMess,HappyCoins.com,1605780323,1
72367840,BitPay.com,3018090,1
1226,Btc38.com,7783745,6
BitBargain.co.uk,73361510,1999985000,1
BTCJam.com,536,199950000,1
BTCJam.com,417,17124127,2
72052099,BTC-e.com,29347367,1
ePay.info_CoinJoinMess,70429690,332726779,1
Loanbase.com,BitPay.com,8971402,1
CoinJar.com,BTCJam.com,14235900,1
Exchanging.ir,PrimeDice.com,368054068,2
Genesis-Mining.com,417,989876887,1
Poloniex.com,Bter.com,3616487129,2
1956,ePay.info_CoinJoinMess,3530955464,6
1956,763,2475733064,4
PrimeDice.com,BTCJam.com,3990000,1
SlushPool.com,ePay.info_CoinJoinMess,25966026588,9
71293041,C-Cex.com,32685959,1
342,1576,665145713,1
BitZino.com,0,10292886,2
0,BTC-e.com,281216649,9
SatoshiDice.com,ePay.info_CoinJoinMess,41458097,1
71293041,Bitfinex.com,32685959,1
ePay.info_CoinJoinMess,16621,5958645423,20
1226,4050,181219037,1
ePay.info_CoinJoinMess,37160511,4238042313,1
1956,421,1178119276,2
1095,1144,8088000,1
637914,Cex.io,14097583,1
ePay.info_CoinJoinMess,978,1680506509143,21
1370,BitZino.com,1191366,1
1956,CoinMotion.com,963205796,1
SatoshiBet.com,Cryptopay.me,21980000,1
LiteBit.eu,10727819,165311643,1
999Dice.com,73466967,140000,1
73597674,BitPay.com,1606832,1
71554939,Bleutrade.com,152919876,1
73096754,Cryptsy.com,3978013,1
14208054,999Dice.com,1653927,1
Cryptsy.com,1098,99988282,1
C-Cex.com,CryptoStocks.com,1177987,1
ePay.info_CoinJoinMess,70037354,294095246,1
271415,1070,115064843,1
15368089,BitPay.com,38372919,3
