Source,Target,value,nb_transactions
ePay.info_CoinJoinMess,3324393,76130240060,1
FaucetBOX.com,CoinChimp.com,12579166,1
Cryptonator.com,421,3469928,1
14964206,BitPay.com,182811986,1
Bitcoin.de,0,220694113,1
FaucetBOX.com,73126948,36002455,1
NitrogenSports.eu,1116,446906332,1
8660,BTC-e.com,1153408323,2
Genesis-Mining.com,4395,118785648,2
24437882,71134452,4304566,1
AbraxasMarket,650395,1501002818,1
PrimeDice.com,421,5050123,2
71241404,0,51240000,1
FortuneJack.com,999Dice.com,12276629,4
Hashnest.com,912,1304435,1
1598,11332,10323701336,6
6963,1227,20728764809,1
289,BTC-e.com,148626293,2
1620930,0,10531615,1
NucleusMarket,72629502,177800000,2
0,ePay.info_CoinJoinMess,27110268,34
131,2184,966969000,1
Bitcurex.com,69338,9079852373,5
FortuneJack.com,1582,1791333,1
70744193,BitPay.com,21458525,1
56717,Cryptopay.me,1580715,1
SlushPool.com,8889192,5046038094,1
70849007,0,299990000,1
483243,74199443,999990000,1
2184,59589,29129567187,4
0,421,220583516,13
HaoBTC.com,BTCC.com,36149482056,7
2411647,BTC-e.com,232662359,1
354,BTC-e.com,110215074011,144
Huobi.com,796.com,5528046641,9
FaucetBOX.com,55834,213763737,3
Xapo.com,AlphaBayMarket,2427575926,2
38656,454,5440249332,3
12583,Hashnest.com,307893922,1
999Dice.com,CoinURL.com,119540,1
Genesis-Mining.com,72681637,3012714365,1
10018926,BitcoinVideoCasino.com,174496844,4
8704,CoinTrader.net_LocalBitcoins.com,63285146,1
1578,61,2882357970,12
1218,GermanPlazaMarket,58460000,1
FortuneJack.com,CoinTrader.net_LocalBitcoins.com,13001376,1
243017,295687,964370486,1
71842975,73884930,24470454,1
0,Paxful.com,3694694,1
1050369,71476892,31698686,1
Bitstamp.net,3262227,19511239545,2
3368,16621,26591164,2
Poloniex.com,1309,1002691817,6
Genesis-Mining.com,13398,3012714365,1
Huobi.com,1309,690239999,1
292,655,53005706,1
ePay.info_CoinJoinMess,66692,76130240060,1
5183751,73832915,715383356,1
73413077,1144,1619105,1
5000,238343,6000,1
FaucetBOX.com,2577304,12579166,1
73702052,ePay.info_CoinJoinMess,3921010,2
Genesis-Mining.com,71110919,3012714365,1
0,289,2689786,3
417,BtcTrade.com,3611822,1
ePay.info_CoinJoinMess,CoinHako.com,228390720180,3
6022,4395,4999990000,1
61,411,6044477,1
175,821,999990000,1
73413077,0,14751042,8
69984036,CoinGaming.io,9437358,1
Genesis-Mining.com,896,257332105,1
0,641,204152,1
2990531,289,1763787576,15
Genesis-Mining.com,2547684,3012714365,1
Xapo.com,4484322,1277299377,1
396,73519166,3823254706,1
302372,0,5955555,1
71738297,ePay.info_CoinJoinMess,230000,1
Genesis-Mining.com,652099,3012714365,1
330903,454,3147865999,2
5542742,MercadoBitcoin.com.br,88166506,1
72262157,69984104,2977281,1
Genesis-Mining.com,6748,178035037,2
612782,69356429,67999738477,1
73807082,ePay.info_CoinJoinMess,94828177,1
269,70429872,54415380,1
Bitfinex.com,2160,3151192816,8
Bitcoin.de,OKCoin.com,416402797,1
FaucetBOX.com,Cryptonator.com,3411689896,154
