Source,Target,value,nb_transactions
10168,71293655,599990000,1
31707,0,484009820,2
52842109,FaucetBOX.com,3869725,1
70507731,4355,8844173406,3
BitcoinWallet.com,294,5802323,1
MoonBit.co.in,70796452,38639623,1
999Dice.com,0,50271111,1
FaucetBOX.com,29392,167790489,6
73779577,294,10599079,1
999Dice.com,Xapo.com,33841379,6
ePay.info_CoinJoinMess,74226233,1125003,1
50421438,AgoraMarket,44586984,1
NucleusMarket,Xapo.com,790990000,1
ePay.info_CoinJoinMess,C-Cex.com,637424458,1
71607460,PrimeDice.com,425603,3
187094,CoinTrader.net_LocalBitcoins.com,536676523,1
71685750,CoinTrader.net_LocalBitcoins.com,6214910,1
Xapo.com,1309,243641144,16
896,96584,101235586290,3
2064109,5137,5670000,1
72603304,70793891,29972290,1
354,73310711,5408695547,4
57,CoinTrader.net_LocalBitcoins.com,369182456,5
ePay.info_CoinJoinMess,2184,140693783434,2
122,821,12189956,1
71920743,NucleusMarket,853897739,1
1095,1144,3408784,1
0,CoinTrader.net_LocalBitcoins.com,24226846,4
354,Bitcoin.de,12313043501,10
LuckyB.it,246156,7203575,5
16425460,70770461,49173671,2
CoinGaming.io,CoinTrader.net_LocalBitcoins.com,115862405,2
71659793,424,1003364535,1
523,864,7850895996,15
871,AgoraMarket,100941834,1
101,57556,7462282,1
BtcTrade.com,11392,1410271,1
ePay.info_CoinJoinMess,FortuneJack.com,860923138,6
ePay.info_CoinJoinMess,37810,70346891717,1
Rollin.io,417,129496857,6
GHash.io,CoinKite.com,5028794442,1
9206469,70691540,1497520000,3
70060778,CoinTrader.net_LocalBitcoins.com,243585214,1
69435530,69330819,250772833,1
348,999Dice.com,7806393,3
GHash.io,ChBtc.com,12756494554,1
Cex.io,354,33096233,4
622667,73649734,26920000,1
294,CoinTrader.net_LocalBitcoins.com,248900069,1
999Dice.com,1294,577334170,15
22977,59589,9800194904,1
69697250,ePay.info_CoinJoinMess,8709290000,1
Cryptsy.com,AllCoin.com,9439914,1
69433503,Hashnest.com,412756047,2
Xapo.com,CoinGaming.io,176345971,4
18488383,CoinTrader.net_LocalBitcoins.com,1044560725,2
