Source,Target,value,nb_transactions
Bitstamp.net,33004224,235781506000,17
6216423,999Dice.com,41453,2
19381,BitPay.com,4544197,1
FaucetBOX.com,Bittrex.com,269765374,21
22583343,CoinTrader.net_LocalBitcoins.com,71716041,1
ePay.info_CoinJoinMess,8343,329542480,2
BitPay.com,ePay.info_CoinJoinMess,257209300,2
PrimeDice.com,Bleutrade.com,5980000,2
Bitstamp.net,73466840,56258867299,2
72629345,0,394001235,11
57,CoinTrader.net_LocalBitcoins.com,636716325,1
1941,0,2650737,1
999Dice.com,Indacoin.com,57770932,1
1070,348,156648640,1
Hashnest.com,421,1996770,1
3167,16756080,40726232,1
Bittrex.com,Bitcurex.com,67990000,1
VirWoX.com,NitrogenSports.eu,1199979867,2
73805853,71973585,72406227,1
43972,1493,69087950,1
72078297,49538527,41036506,1
ePay.info_CoinJoinMess,5271171,15815799,2
Poloniex.com,Paymium.com,27292348,1
SlushPool.com,4186175,10051470691,3
3120,Cryptsy.com,25113018,1
1095,MercadoBitcoin.com.br,6285494,1
Hashnest.com,Bter.com,16301160,1
69251458,ePay.info_CoinJoinMess,701763975,1
1956,7683210,163239137,1
C-Cex.com,CloudBet.com,2616790,1
10172196,69748392,26695344,1
1956,70534535,675663815,1
1956,CoinKite.com,3538248448,4
69173924,72603436,5608000,1
1285711,CloudBet.com,1631458870,1
AgoraMarket,Bitcurex.com,2353014145,3
73649714,BTC-e.com,45270052,4
69486550,237443,185896240,1
1095,Cryptsy.com,6285494,1
GHash.io,7366,31435346575,3
73205118,71236684,75390000,1
SlushPool.com,ePay.info_CoinJoinMess,5012380984,1
71738142,265,37650000,1
107,CoinTrader.net_LocalBitcoins.com,2856248111,2
1836,ePay.info_CoinJoinMess,127325000,2
417,BTC-e.com,5124591170,2
536,Kraken.com,6885576,1
10467121,ePay.info_CoinJoinMess,35786593,1
26701074,ePay.info_CoinJoinMess,72418069,1
73962910,0,292653823,27
GHash.io,Cavirtex.com,12617946576,1
FaucetBOX.com,Bitcoin.de,69632790,5
GHash.io,74172449,12556749508,1
CoinTrader.net_LocalBitcoins.com,2652,1387466134,2
71005802,BitYes.com,8780000,1
536,1144,1063236,1
Igot.com,ePay.info_CoinJoinMess,1080075,1
Bitstamp.net,CoinKite.com,17320259872,1
CoinTrader.net_LocalBitcoins.com,597,4249495727,2
69799754,3167,13071895,1
73649714,999Dice.com,70606843,3
CoinTrader.net_LocalBitcoins.com,110115,12573962210,5
21325448,5543010,8953811,1
Huobi.com,ePay.info_CoinJoinMess,19228622883,9
HolyTransaction.com,0,2160729,2
Poloniex.com,1294,31861048,2
14710117,50422325,35960000,1
73728575,74330454,4762084,1
Bitfinex.com,OKCoin.com,12278694296,5
69383113,441347,44650260,1
71005802,HolyTransaction.com,15935888,1
4931,5937,656029673,1
74278522,73414848,24245863,1
71345216,71581352,81811822,2
Bitstamp.net,40537925,13587448637,2
FaucetBOX.com,72103925,10045739,1
Bleutrade.com,35,1980733,1
73649714,AllCoin.com,69274093,4
Bitstamp.net,69644738,9565980000,1
ePay.info_CoinJoinMess,1323,4328344,1
269,1956,54880000,1
ePay.info_CoinJoinMess,C-Cex.com,7999910225,3
Poloniex.com,BTCJam.com,61621489,3
322976,7846758,14358884,1
72130649,8343,216721081,1
CoinGaming.io,AgoraMarket,8729000,1
73258263,860,80245522,1
Huobi.com,Cryptsy.com,4637285792,1
Bittrex.com,523,24347529,1
FaucetBOX.com,19858133,18853917,1
FaucetBOX.com,C-Cex.com,65682528,7
ePay.info_CoinJoinMess,BtcTrade.com,7609315305740,118
Bittrex.com,55834,138679063,3
16425460,73204632,199490000,1
71005934,BitVC.com,201493983616,3
199545,1309,46912,1
Cryptsy.com,Cex.io,30374629,3
ePay.info_CoinJoinMess,73858713,3999348623,1
523,2648,1132148310,1
ePay.info_CoinJoinMess,Cryptonit.net,64485722930,1
71136349,72129701,23021485,1
73649714,Cryptonator.com,195768003,9
Coinichiwa.com,PrimeDice.com,1090303,1
Hashnest.com,ePay.info_CoinJoinMess,5668477,1
0,7787,12329093,3
Bittrex.com,C-Cex.com,902046862,8
ePay.info_CoinJoinMess,27502457,3075541,1
19025117,6294,138500,1
999Dice.com,6294,159461410,6
70927660,BitcoinWallet.com,94027564,1
FaucetBOX.com,999Dice.com,29929714,3
CoinTrader.net_LocalBitcoins.com,3653479,594621506,1
FaucetBOX.com,2682096,8231178,1
73649714,62046790,78537440,2
257316,Bitfinex.com,29277990005,2
536,ePay.info_CoinJoinMess,2644258,2
Bter.com,Cryptopay.me,1999980000,2
Poloniex.com,71319609,9990000,1
NucleusMarket,AbraxasMarket,57838680,1
ePay.info_CoinJoinMess,72890839,88658429,3
0,HolyTransaction.com,2052163,2
ePay.info_CoinJoinMess,Betcoin.ag,280482653,15
1370,999Dice.com,11380019,1
197576,BitcoinVideoCasino.com,249990000,1
ePay.info_CoinJoinMess,Peerbet.org,3999348623,1
265,532,20098201,1
Bitstamp.net,421,6913207260,1
73728551,424,9999990000,1
FaucetBOX.com,74278368,18853917,1
Bleutrade.com,6294,24988000,1
73858202,294,10893397,1
Kano.is,ePay.info_CoinJoinMess,59639070304,24
Poloniex.com,Btc38.com,642894841,4
2758406,24623356,787198410,1
42093257,BitPay.com,117925242,2
1095,Cryptonator.com,6285494,1
Bitstamp.net,57,9999960000,1
71266718,BTC-e.com,7078326,1
1956,Bitcoin.de,7494293490,8
Cex.io,0,2732458016,6
Cavirtex.com,Bitfinex.com,1002503119,1
BitZillions.com,72471605,11230627,1
CoinTrader.net_LocalBitcoins.com,AgoraMarket,94344932039,85
70270953,Bitfinex.com,5990000,1
ePay.info_CoinJoinMess,70796631,9922225323,6
FaucetBOX.com,289,410968085,33
6355,QuadrigaCX.com,1852022666,1
LuckyB.it,1528188,16268148,15
Igot.com,CoinTrader.net_LocalBitcoins.com,1460123486,3
Bitcoin.de,Genesis-Mining.com,919900000,1
Hashnest.com,BitPay.com,6283335,1
73807082,69356910,1982747823,1
ePay.info_CoinJoinMess,1083400,6558849,1
73441090,Kraken.com,6881026,1
1580,BTC-e.com,16020000,1
74330515,ePay.info_CoinJoinMess,53391586132,3
1956,20293,675663815,1
Kano.is,0,1088413033048,438
PrimeDice.com,1294,7715892,3
1285711,BTCJam.com,5311879406,1
70403346,Xapo.com,20489,1
14288920,5806763,2898032187,3
641,0,250000000,1
70691530,71790459,14992250,1
Cryptsy.com,Xapo.com,14988174,1
BtcTrade.com,424,159300009,1
Bittrex.com,Bitfinex.com,135430380,2
FoxBit.com.br,70743567,349406030,1
ePay.info_CoinJoinMess,23145220,11998045869,3
Bitbond.com,CoinTrader.net_LocalBitcoins.com,296080465,1
FaucetBOX.com,16621,86294380,8
71502280,0,15719756,2
Bittrex.com,Cavirtex.com,13270891,1
57,Bittrex.com,274573153,2
BitPay.com,CoinTrader.net_LocalBitcoins.com,151882400,1
SatoshiMines.com,ePay.info_CoinJoinMess,4456134,4
FaucetBOX.com,69644132,18853917,1
AgoraMarket,6294,379003580,1
71920743,Bittrex.com,362290537,1
441347,55655259,100770871,1
CoinGaming.io,Cryptsy.com,2513445,1
72104556,73649714,63065076,1
69984656,0,8654481,1
2010811,SatoshiMines.com,2083448630,8
71005802,421,117979022,8
71319609,Poloniex.com,12199037,2
CoinGaming.io,Xapo.com,2419223,2
Bitstamp.net,Xapo.com,7472242881,1
2390784,265,253565971,1
Bitstamp.net,BitcoinFog,5089121618,2
Bter.com,C-Cex.com,2999970000,3
16425460,71764440,308538536,2
40948331,70638332,353666136,3
70559982,CoinGaming.io,163980000,2
70953647,71136944,52831096,1
GHash.io,Bitfinex.com,6260650491,1
73962910,ePay.info_CoinJoinMess,93966127,9
72603304,73335280,54307723,1
73649714,515376,4396826,1
FoxBit.com.br,MercadoBitcoin.com.br,1265760555,3
69225864,999Dice.com,19980000,6
25598919,71241444,760290000,1
0,PrimeDice.com,4626598,6
16425460,69120169,115138811,1
HolyTransaction.com,1309,1039007,1
CoinTrader.net_LocalBitcoins.com,BTC-e.com,10532274852,13
71869112,BTC-e.com,29532550,1
Bitstamp.net,Cavirtex.com,3454549203,1
FaucetBOX.com,AllCoin.com,46240892,4
255398,265,171054246,1
73649714,71371661,44798979,1
Cryptsy.com,5162,29022770,1
73570168,71424456,23554897,1
BitZino.com,CoinGaming.io,2490000,1
BTCJam.com,Cex.io,8833711,1
Cex.io,269,154880333,4
Bittrex.com,Xapo.com,344498943,6
ePay.info_CoinJoinMess,3328,2949920000,3
74068308,860,18760283,1
37466229,0,1562393,4
1095,1941,6285494,1
MercadoBitcoin.com.br,73413701,4999990000,1
16425460,74224961,160062102,1
74066429,421,43782632,1
70036886,0,18465519,1
Poloniex.com,421,75314931,2
269,Bleutrade.com,1692818,1
74330515,175,15057755695,1
72078429,70140915,57718392,1
Cryptsy.com,796.com,56127489,1
16425460,70140360,51084281,1
0,1469,250782,1
CoinTrader.net_LocalBitcoins.com,74196493,499990000,1
SatoshiDice.com,BTC-e.com,64537237,2
CoinTrader.net_LocalBitcoins.com,PrimeDice.com,1111848679,4
73647556,289,36866469,1
73649714,70717806,38732885,2
HolyTransaction.com,PrimeDice.com,1143362,1
62046790,513,1212422,1
BX.in.th,Cryptsy.com,249990000,1
1956,19381,1093460409,1
1833,0,3400786,2
71319563,69565872,81415938,1
69278079,72550189,23650946,1
2226,CoinTrader.net_LocalBitcoins.com,88301525247,4
Poloniex.com,1956,27009354,1
PrimeDice.com,32354,185393996,4
PrimeDice.com,2064109,11092397,1
417,AllCoin.com,321866753,1
208331,BitPay.com,165997114,1
CoinPayments.net,1509159,2945104,1
14959348,SatoshiMines.com,3763551,1
C-Cex.com,Cryptopay.me,63063799,1
FortuneJack.com,Xapo.com,3510360,3
4251,CoinPayments.net,409875000,2
470955,265,228990000,1
22883451,CoinTrader.net_LocalBitcoins.com,416487331,1
ePay.info_CoinJoinMess,71397587,23573091,1
CoinTrader.net_LocalBitcoins.com,1098,405705889,1
BX.in.th,CoinTrader.net_LocalBitcoins.com,146500000,2
70744181,45298568,2976679,1
Kraken.com,Purse.io,1600707777,2
Bittrex.com,763,303788829,3
71005802,CoinTrader.net_LocalBitcoins.com,15935888,1
ePay.info_CoinJoinMess,326031,3090000,1
Hashnest.com,Igot.com,84990000,1
