Source,Target,value,nb_transactions
4,BX.in.th,2651266852,21
776,491,21468424,1
70691186,Kraken.com,134707499,1
107,44,637049,1
848667,Luno.com,893574659,8
HaoBTC.com,286,30281203,1
1330,29,499950793,1
175,2323,901345495,1
3810,BTC-e.com,6211983,1
74094368,117,29232090,2
238,417,14820944245,8
219,Xapo.com,30599661750,6
37,Bittrex.com,1804611143,14
15207,1316,599893872,1
1226,904,1148686,1
4,275,6557177660,220
879,60,304405039,1
ePay.info_CoinJoinMess,HolyTransaction.com,419070492,13
157,1566,7390637,1
848667,154,566140612,2
72550978,72995578,75420443,1
33117,371,4093360097,3
117,1090,560678,1
0,154,62493877,6
5330317,4,87967,1
17880,49,461749071,1
YoBit.net,14,52936860,6
1654888,227,947071728,3
72260371,62,23969250,1
Xapo.com,73124543,32653197,1
27583175,20,15816480,1
391,MercadoBitcoin.com.br,17063075,2
YoBit.net,891,24791580,1
37,68859058,142801251,1
348,62,25100064,1
70349257,70717607,2772880,1
94,0,3725803,1
578,Bit-x.com,6926437,1
1654888,Kraken.com,1701803318,3
152121,Luno.com,81145805,1
848667,62,1536106195,4
94,122,99936752,1
Xapo.com,354,28597625,4
7987,162,299959741,1
YoBit.net,999Dice.com,19885871,2
Poloniex.com,238,2110743371120,34
24951,117,113323289,1
4,3077,5237251,1
227,391,2962993,1
72944130,29,999550000,1
354,OKCoin.com,6684549935,1
74304268,158,74374535357,20
70717170,96,1113270,1
61,LocalBitcoins.com,4586375,2
14,71764412,660475982,1
74330584,Rollin.io,1406575,1
175,217,599954800,1
69199571,0,375537,1
74068186,0,1376426,2
1654888,18972,817626275,1
276,BTC-e.com,13097458311,6
9749,101,649940000,1
1654888,72943679,848950033,1
CoinJar.com,Poloniex.com,3009683052,5
801,371,170839,1
14,5941,614380137,3
7645,MercadoBitcoin.com.br,201898620,1
14,578,589486333,1
15207,Xapo.com,599893872,1
69199627,CoinSpot.com.au,264940958,1
72524442,29,37572880,1
69199627,157,264940958,1
369141,0,5696944,1
14,3531,869015238,18
Poloniex.com,Bitbond.com,28030284224,1
864,Poloniex.com,5622380536,5
68653032,71683649,10461329,1
72129912,49,8254622,3
Bitstamp.net,0,146544603115,13
3653479,Poloniex.com,3581847,1
71888167,70115038,124118920,2
ePay.info_CoinJoinMess,513,18382374,1
ePay.info_CoinJoinMess,315,20388013495,1
354,Bittrex.com,34503451868,4
Xapo.com,52842076,1319403395,1
1075,61,6002032,1
61,Cubits.com,39700018,2
74304268,543,2045383852,1
14,158,22396396013,19
SatoshiDice.com,HitBtc.com,12966100,1
73336136,49,8483714,1
58809,0,7728211,1
4,24333768,13445269,1
4833806,46590,7412372,1
4,BitcoinWallet.com,33915647,1
175,275,12968360,1
387,21112,101434671,1
4,801,668713,1
1575,0,27557613,1
1654888,94,2862593388,6
BX.in.th,276,53862152,1
65,60,17061072,1
46590,999Dice.com,48219186,2
94,Cryptopay.me,124967199,1
73963652,49,3820728,1
101,91,7118954,1
8144,29,242135500,1
74304268,Rollin.io,74218454,1
Xapo.com,Cubits.com,7539429495,18
0,Rollin.io,9278820,8
217,275,13065675,2
HolyTransaction.com,Poloniex.com,122994804,2
102,107,60204931,4
916,9310,506066579,6
70087527,44,860546,1
39,898,499935114,1
14,641,134590234,1
41701,4075,856236,1
33117,269,4093360097,3
1654888,1281001,816882647,1
0,62,260250582,11
815,117,139908756,1
37,20,24743762,1
405610,Luno.com,892221848,4
BX.in.th,421,107276750,1
60,70508421,950324991,4
9749,14,509940000,1
14,101,82304436,1
252,2779,810920,2
4,6252,194307813,13
25052,Cryptonator.com,1202921,1
54681,CoinPayments.net,174769710,2
4689,Poloniex.com,691671000,12
Bit-x.com,Poloniex.com,194276616,3
233,0,36400183,3
Poloniex.com,217,3453117853759,54
70796633,175,30860,2
74278362,CloudBet.com,10400454,3
60,768,6295317797,15
14,700,11962448551,3
126,195,115421176,1
74330365,44,14722057,1
396,129,641468660,2
69723436,860,1145586,1
0,386,60110712,7
74304268,FortuneJack.com,4444321005,1
74304268,1316,4536363080,1
ePay.info_CoinJoinMess,2545,61164040485,3
73127018,Xapo.com,94772124,1
61,70351406,5620029,1
506901,122,5132400900,1
1182362,29,518155728,7
396,62,683480475,2
1330,2189,2558681,1
ePay.info_CoinJoinMess,234,75726291,4
ePay.info_CoinJoinMess,7184,19362179,1
PocketDice.io,170,5385922,5
ePay.info_CoinJoinMess,223,93131305,9
126,Cubits.com,8033263,1
SafeDice.com,4,84702413,11
343,29,36230966,4
0,71397190,3279092,1
22457176,61,27457516,1
69644191,44,138248,1
942,0,100114224,1
1654888,157,364923900,1
61,158,7080399,2
387,14,3837178,1
2218,523,5259547,1
1182,Poloniex.com,11703350,1
73597969,44,410779,1
Poloniex.com,7036,508120924487,4
405610,Rollin.io,223055462,1
1612,ChBtc.com,8064424792,2
Bitstamp.net,1316,1503108275,2
1654888,72969995,1729490934,2
219,91,8477534536,2
129,61,19966445,1
140725,BTC-e.com,24528500,1
2331,Poloniex.com,595480,1
72812731,Poloniex.com,38445760,1
5026,Cryptonator.com,15683225,1
73701721,69984672,7787291,1
4689,354,178392165,3
43617150,883,60864909,1
154,Bittrex.com,101863840,1
74304268,999Dice.com,52313594125,10
469,Cryptopay.me,19651339,2
234,CoinGaming.io,3929728,2
801,0,159175771,19
35,2922,2988299,1
18946,CoinGaming.io,4332889628,7
0,163,5958583654,112
14,57,1141488319,2
391,269,1057629,1
4661129,102,106501261,1
129,62,42148870,2
20,Bittrex.com,221718189,1
Bitstamp.net,FYBSG.com,88465211,1
Bitstamp.net,879,3327896101,1
0,75,500038756,2
29548069,44,3945760,1
81224,Luno.com,1367362,4
71345663,49,2651880,1
MoonBit.co.in,Cryptonator.com,638957202,1
ePay.info_CoinJoinMess,BitKonan.com,20388013495,1
543,29,24295566,2
14,315,112972816,1
801,4,41298860,3
108,283,2000030,1
9749,Xapo.com,869940000,1
833,CoinGaming.io,290019830,2
70399544,ePay.info_CoinJoinMess,34492880,1
1316,91,10018953004,5
20,73597523,232401684,1
73649821,21568839,39260816,1
19172839,YoBit.net,12589010,2
999Dice.com,4,188590413,11
73466284,Poloniex.com,20072112,2
Poloniex.com,Bitstamp.net,5603152267359,68
150953,700,352352856,1
150953,122,352352856,1
4661129,Bittrex.com,7251362,1
SlushPool.com,57,15032969538,9
69591362,20,42681433,2
175,ePay.info_CoinJoinMess,2770234479,4
848667,3648,51582374,1
396,340,154401175,1
74304268,14,121741492864,25
Paymium.com,343,19530823590,1
391,833,5605389,1
776,91,85873696,4
ePay.info_CoinJoinMess,1226,40776026990,2
Poloniex.com,7645,315812193575,2
3690470,60,411561318,1
233,Poloniex.com,1800015,1
163,29,113174423,8
PocketDice.io,ePay.info_CoinJoinMess,8845357,6
14,750,400392629,3
131,122,59864144413,82
1654888,275,97565024,1
41701,BTC-e.com,75493145,2
SlushPool.com,1566,1349561933,1
Xapo.com,371,575775240,16
57,0,35332133,6
75,117,13488449,2
Poloniex.com,491,305300477780,13
1123,158,1205950,1
848667,60,1154542382,4
69225526,29,12679794,1
20,108,532609703,2
37,271437,380301262,1
7645,472,2007004220,5
ePay.info_CoinJoinMess,612543,18652396,1
396,Bitstamp.net,483906123,1
444,0,33581300,1
14,859,15625211362,17
2453,417,1304413016,4
Cryptonator.com,0,9762947,6
70403432,Cryptopay.me,145454346,1
51,3641,25935205,1
74304268,Poloniex.com,1814146255161,404
776,2380,21468424,1
4689,BTC-e.com,62267260,1
20,Cubits.com,102170949406,228
Cryptonator.com,189,4990004,1
233,275,2003716,1
1182362,Bittrex.com,56582156,1
47350166,69330277,11008025,1
SlushPool.com,417,2765955277,1
157,432,3061108,1
Xapo.com,700,6528202,1
3473,0,1573301,1
SatoshiMines.com,371,4386936,1
163,Bittrex.com,669109530,10
Poloniex.com,71764452,1977588748,1
14,871,5614800216,16
74304268,62,112354489554,25
Rollin.io,20,2002100,1
157,CoinGaming.io,128718936,15
108,Xapo.com,17731908,3
70533810,29,34734389,1
57,Cubits.com,37402557,1
4343,Xapo.com,12186965,1
53061831,733,645880,1
289,72420065,20375891,1
578,371,6926437,1
2218,331,15778641,3
776,70743619,21468424,1
69199627,4075,264940958,1
71162539,94,1020200020,1
14,189,3655024270,10
9310,859,833933512,1
ePay.info_CoinJoinMess,5348,20388013495,1
1182362,ePay.info_CoinJoinMess,146849839,3
Poloniex.com,5162,78895291120,1
1654888,129,142799365,1
HaoBTC.com,387,4207240448,28
74329976,163,23650000,1
15207,4,599893872,1
1228047,275,7221346481,30
139,CloudBet.com,3044137325,1
1228047,629,372828729,2
117,BTC-e.com,602245,1
Xapo.com,108,19725946923,15
73467037,44,65335008,1
999Dice.com,Xapo.com,68549264,13
432,29,72725956,5
1182362,275,53292234,1
639,234,1378203,1
1585,1075,69357522,1
74304268,444,37448917873,7
5162,28927,33970276993,1
175,101,299942768,1
ePay.info_CoinJoinMess,29976439,20388013495,1
27914256,163,14548218381,2
37,Bitbond.com,18784695,1
BTCCPool,1215,746035710,3
ePay.info_CoinJoinMess,Huobi.com,14204731804368,690
4823363,0,49990000,1
Bitstamp.net,284,8784436128,2
Poloniex.com,107,2011276331305,33
MoonBit.co.in,405610,1025319289,1
0,131,33479720,2
484,117,25710429,1
848667,29,3465320314,17
263,14,7235327,1
74304268,BlockTrades.us,41776026788,9
27140713,96,50755374,1
6521368,Xapo.com,3745345,1
27914256,275,5905765547,1
58766,0,13870000,1
Poloniex.com,60,7582109363824,116
60,388,461064175,1
1300,Bittrex.com,179958838,1
0,101,79154805,12
35,269,289280494,6
1654888,BitoEX.com,1902963123,3
405610,107,892221848,4
238,217,202030006,1
5714831,Cryptopay.me,5037767761,3
87610,MercadoBitcoin.com.br,2156529396,24
11401,62,99386720,1
Xapo.com,4,50707553432,58
0,61,443278457,80
71005392,4238,14148651,3
135903,BTC-e.com,31888700,1
391,Cryptonator.com,2047631,1
0,CoinPayments.net,26623595,5
Poloniex.com,544,508082935112,3
ePay.info_CoinJoinMess,87324,20388013495,1
ePay.info_CoinJoinMess,8679,22849329,1
267689,20,99955425,1
74304268,0,188474141416,47
94,Cubits.com,1058118824,11
0,BitcoinWallet.com,15111520,2
1228047,284,2425938443,6
20,69749442,27633345,1
69381951,0,190975,1
276,0,12046242,1
129,1622,4554770,1
YABTCL.com,170,4152404,4
1432,283,1919962,1
139,Poloniex.com,105365172607,42
MoonBit.co.in,Poloniex.com,300797405,3
69696667,29,85578714,1
ePay.info_CoinJoinMess,OKCoin.com,9949350585560,488
74304268,4,96450398334,22
Bitstamp.net,14,5134800017,4
20,2027,69390674,1
HaoBTC.com,175,4215788681,3
Bitcoin.de,263,12318161,1
74330073,195,4210401,1
ePay.info_CoinJoinMess,72498745,20388013495,1
776,833,42936848,2
126,163,18787220,3
14,916,986201352,2
ePay.info_CoinJoinMess,35,73728678,3
4661129,CoinGaming.io,209458450,1
40537954,BTC-e.com,193163,1
60,131,445418510,1
