Source,Target,value,nb_transactions
52375,Huobi.com,12735300,1
Bitcoin.de,343,598308841,2
52526,50490,7286669,1
69,42432,1353400013,1
124473,2643,8027400,1
129,7645,13770808,1
72393183,29,1987570,1
YoBit.net,421,164970016,2
71839057,108,91839851,1
69697248,Cryptopay.me,858293,1
ePay.info_CoinJoinMess,170,37891248945,64
33291,Bit-x.com,134307091,1
Xapo.com,73754556,70927849,1
52123,50998,98115265,1
9373931,290,330197112063,13
4814,CoinTrader.net_LocalBitcoins.com,1503101493,24
73907604,73386462,152625161,1
0,28663,103560578,2
42946516,BitPay.com,698243240,1
472,290,741784442,2
51631,52123,20100724,1
0,16536498,5570902,1
45298568,44,2193808,2
219,73284596,795945205,2
52263,50926,16249402,1
Xapo.com,HaoBTC.com,63122009,1
21266,72838683,27497770,1
51203,51629,80389510,1
129,904,269384136,6
MoonBit.co.in,71109524,131309216,1
220,Luno.com,1138843,1
51056,51560,79819026,1
50039,52039,22125433,1
42046,49954,118422737,1
2055,152,249987570,1
101,Huobi.com,64156290,7
ePay.info_CoinJoinMess,Xapo.com,969965170132,184
11450149,4129372,510220454,1
71450805,Xapo.com,15532982393,6
7582,71189185,25131900,1
1612,57,28848520758,2
72446493,73492583,42898374,1
72209797,44,20611196,1
60,354,33226511770,6
345711,BitPay.com,201089642,2
348,29,4246123,1
1149,233,2700039,1
Poloniex.com,2480,21462136038,4
52610,50811,15820000,1
70976754,158,39988493,1
69330554,152,2699987570,1
1226,472,2504592420,1
7345,FortuneJack.com,7577170,1
Huobi.com,LocalBitcoins.com,9206160383,15
1215,ChBtc.com,20189569543,2
4126,60,249068593,5
1182362,MercadoBitcoin.com.br,237748186,5
101,774,27649441,2
BlockTrades.us,BitoEX.com,3966637,1
50380,52282,133033300,1
51945,51754,99980000,1
Poloniex.com,163,267902045473,11
51754,51503,3167962,1
CoinMotion.com,BitPay.com,1779013,1
50365,29,48186018,1
1228047,52033,1942773125,2
7215724,60,373256643,1
0,20640336,105518,1
51629,29,129959997,1
70953647,69304225,27096175,1
Poloniex.com,60,491196539452,53
27914256,6320370,67615764,1
50177,50199,39617187,1
73648988,50726,798390000,1
70063369,107,1348641263,3
848667,1432,728089541,1
999Dice.com,SatoshiMines.com,443919,2
485117,Xapo.com,59188120,1
73048147,CoinTrader.net_LocalBitcoins.com,30709835,1
20,289,73302334,1
Poloniex.com,BTCJam.com,299702301,1
70744026,163,271923218,23
1182362,163,124304789,3
57,Poloniex.com,971210193,4
Loanbase.com,1391,2602120,1
354,Poloniex.com,240899085026,77
101,MercadoBitcoin.com.br,79589600,3
40854,51629,899980000,1
73205732,69984664,127662417,1
Poloniex.com,1622,7636835948,1
1228047,289,627123971,1
70508324,CoinPayments.net,94619000,1
37,CoinPayments.net,285004606,7
391,Cryptopay.me,3775103,1
60,284,3208873924,1
4395,Poloniex.com,242120000,1
848667,Xapo.com,19509676781,65
50305,53532,10036416,1
ePay.info_CoinJoinMess,1450,166821911,2
52342042,Cubits.com,6261408,2
73361777,833,9140000,1
51755,51118,268413333,1
33291,129,292205614,2
41035,51755,537968637,1
ePay.info_CoinJoinMess,129,210844095,3
139,39,20500160822,1
4810,Poloniex.com,994109700,2
5892,472,565383432,1
Xapo.com,578,14019566232,3
52293,51294,24401270,1
52442,51291,159610200,1
42844,269,722815,2
72757195,70638958,10025637,1
51870,50365,23673249,1
37,Cryptopay.me,4952091,1
74304268,73126778,12976382352,1
51870,52698,41070000,1
106268,129,13213381789,1
50899,173805,1140000,1
1669,Huobi.com,253487848492,22
69827719,73622516,82945193,1
33291,Bitcurex.com,283203982,2
51326,73485,249980000,1
70377599,71790585,1699897150,2
51809,50380,765244160,2
1182362,777,35033466,2
YABTCL.com,999Dice.com,441500805,1
57,4,11793488,2
Bitstamp.net,Bittrex.com,91294591737,17
1228047,CoinPayments.net,50339873974,117
Xapo.com,CoinJar.com,52192197,1
Xapo.com,2461,13270000,1
52011,52526,88774539,1
605,2647,911955945,4
Xapo.com,3648,112088199,3
73485,53532,59189385,1
405610,Bter.com,143045679,3
7582,MaiCoin.com,113710600,1
Huobi.com,BitVC.com,52120412583,11
1142085,52908,129159374,3
69304322,BitPay.com,26176516,1
1182362,275,212509222,13
3658,24084,68482000,1
69827719,72210045,16630879,1
70979650,44,3578764,1
50250,51326,19277145,1
40540271,29,3654388,1
60,OKCoin.com,2921191609,2
152121,417,2778076890,3
71554939,4,195107650,2
CoinGaming.io,BitcoinFog,212004128,2
468,60,256688193,3
41573,53479,75852717,1
69929013,289,11354894,1
52484,52306,4980000,1
72341058,72156430,8107404,1
Luno.com,39,9999976240,1
69376769,96,492772,1
60,131,20804612134,4
50509,Huobi.com,45773335,2
51291,72419170,10856843,1
219,1575,441570855,1
1959,Cryptonator.com,20594897,1
74278522,29,411275214,1
51094,52526,56484094,1
50464,50490,4980000,1
50133,51755,10060033,1
49990,50423,50240000,1
Bitstamp.net,Huobi.com,63206048218,3
74304268,189,13545981892,2
39,BitPay.com,199965980,1
ChBtc.com,47881,32501000002,1
0,351,1141117,1
73728217,29,11178593,1
1070,Xapo.com,4967828,1
BlockTrades.us,Bittrex.com,55687069,4
73987279,96,111141626,1
7582,BitoEX.com,198735900,4
72341229,50648,32969430,1
ePay.info_CoinJoinMess,1566,1413829843434,46
70744146,4,111135,1
33291,371,2539836768,19
51781,51351,54475221,1
57,LocalBitcoins.com,1193069290,1
942,4,1639385,1
391,LocalBitcoins.com,27983288,1
69564577,811,7366132,1
