Source,Target,value,nb_transactions
0,200,6711238,2
BX.in.th,271437,1442137,1
1575,4,236383710,1
468,859,61949792,1
69199571,152,31809099,1
1612,ChBtc.com,140291056517,8
1070,578,1382129,1
1438008,883,11909177,2
73466284,Poloniex.com,66353770,2
Poloniex.com,3348,4143829666,1
39,CloudBet.com,9304337,1
1575061,9,72280000,1
74304268,695,12635077210,2
YoBit.net,1502175,48959911,1
Xapo.com,94,24852660,2
72576705,88420,41704056,1
ePay.info_CoinJoinMess,1566,1027228500572,34
19300279,61,103688168,1
2067,14,952360792,1
157,200,42541359,2
354,189,4103050916,2
9924582,14,8315350,1
SlushPool.com,31156,2714409076,1
39221901,BTC-e.com,66881306,1
1654888,170,1637674194,8
146292,368,11658224,2
219,Bitstamp.net,927796764,2
472,Poloniex.com,14839364237,23
71267213,44,8638008,1
70874785,421,102739200,1
129,OKCoin.com,1108386775,1
13243026,70403042,91730766,1
0,544,131321858,2
ePay.info_CoinJoinMess,1756235,2031388,1
69199627,CoinJar.com,139700000,1
20,ePay.info_CoinJoinMess,3240734935,13
117,0,128166712,9
1798,0,4695254,2
73649517,44,4270310,1
ePay.info_CoinJoinMess,71528429,30212602958,1
69513255,OKCoin.com,3955068,1
74198629,44,32322927,1
50133485,72602911,11820660,1
72315523,61,30978462,1
Xapo.com,Poloniex.com,1220970394,39
Cryptonator.com,275,30770859,7
Poloniex.com,1054,12079871607,1
139,761261,1740247181,1
69853541,69278013,39108941,1
Xapo.com,289,2207390804,18
71528788,368,17731000,1
10503,Luno.com,157748972,2
154,BTC-e.com,10086864,1
71162539,833,259488672,2
154,14,1678100608,6
57,Hashnest.com,966308,1
354,3578,519363988,1
40842,1612,20731906220,1
71554939,102,91593571,1
0,35,23449293,2
848667,91,1904940461,7
4,72681677,29972240,1
1228047,70482022,1080963786,1
71554939,BitcoinWallet.com,496145337,1
ePay.info_CoinJoinMess,289,121330508395,12
35,BTC-e.com,2344232,1
Huobi.com,73493372,204940000,1
Xapo.com,69671038,23583845,1
HaoBTC.com,BtcTrade.com,1282394190,6
73831355,368,5685260,2
70639151,49,1533045,2
71502876,49,3674749,1
14,29071,1086758861,2
