,date,PriceUSD,HashRate
2190,2015-01-02,315.942731735827,333345.017260144
2191,2015-01-03,285.647309760374,327284.198764505
2192,2015-01-04,263.33457481005297,347486.927083302
2193,2015-01-05,275.003851548802,315162.561773228
2194,2015-01-06,287.549521040327,319203.107436987
2195,2015-01-07,297.535565166569,282838.196463153
2196,2015-01-08,284.342391876096,296980.106286311
2197,2015-01-09,292.501114552893,282838.196463153
2198,2015-01-10,276.230532144944,296980.106286311
2199,2015-01-11,268.755515488019,313142.28894134803
2200,2015-01-12,268.617232028054,291349.141441684
2201,2015-01-13,224.108117767388,277602.083462638
2202,2015-01-14,175.637640561075,316947.26064631896
2203,2015-01-15,212.34101139684398,330062.31970754603
2204,2015-01-16,207.59520485096402,303832.201585092
2205,2015-01-17,199.824836645237,301646.35840822104
2206,2015-01-18,211.132518410286,334434.006061289
2207,2015-01-19,216.89469491525398,314761.417469448
2208,2015-01-20,211.91985388661598,257929.494870797
2209,2015-01-21,227.904210403273,325690.633353804
2210,2015-01-22,233.647382817066,295088.828877607
2211,2015-01-23,233.13285242548199,271044.553932025
2212,2015-01-24,249.08212390415,275416.240285767
2213,2015-01-25,254.51794126242,273230.397108896
2214,2015-01-26,273.95224488603196,277602.083462638
2215,2015-01-27,264.753804500292,317507.026636064
2216,2015-01-28,235.735840444185,336476.45310999604
2217,2015-01-29,233.95737346580898,336476.45310999604
2218,2015-01-30,228.896189947399,283132.625177924
2219,2015-01-31,217.332156049094,340579.824489386
2220,2015-02-01,227.111301285798,318011.28190274
2221,2015-02-02,240.092419929866,326218.024661521
2222,2015-02-03,227.775695791935,260564.082591277
2223,2015-02-04,226.78113413208698,326218.024661521
2224,2015-02-05,217.011151081239,326218.024661521
2225,2015-02-06,222.724969316189,363148.36707603297
2226,2015-02-07,228.647127410871,326218.024661521
2227,2015-02-08,224.03598889538299,270822.511039753
2228,2015-02-09,220.76849386323798,340604.722619783
2229,2015-02-10,220.88815429573398,318224.262813905
2230,2015-02-11,219.495859731151,349162.732809701
2231,2015-02-12,222.583227936879,262976.994964268
2232,2015-02-13,236.555363822326,322644.044241876
2233,2015-02-14,257.627695791935,353582.51423767203
2234,2015-02-15,234.445803039158,309384.699957963
2235,2015-02-16,235.086126826417,346952.84209571604
2236,2015-02-17,243.905794272355,329273.716383832
2237,2015-02-18,235.995232320281,369051.74923557
2238,2015-02-19,241.872253945061,366841.858521585
2239,2015-02-20,245.53077527761502,349162.732809701
2240,2015-02-21,245.596002630041,313804.481385934
2241,2015-02-22,236.690668322618,334358.31113310397
2242,2015-02-23,239.06601782583303,329538.396656716
2243,2015-02-24,239.869262127411,299369.388512087
2244,2015-02-25,238.236111046172,368990.17653815396
2245,2015-02-26,237.04440239625902,348103.940130334
2246,2015-02-27,255.116774400935,352745.32599873794
2247,2015-02-28,254.948448568089,329538.396656716
2248,2015-03-01,260.651330800701,324897.010788311
2249,2015-03-02,276.322613676213,366669.483603951
2250,2015-03-03,282.705900935126,366669.483603951
2251,2015-03-04,273.447536528346,324897.010788311
2252,2015-03-05,276.268809175921,306331.467314693
2253,2015-03-06,273.31811484512,343462.554261929
2254,2015-03-07,276.403357393337,324897.010788311
2255,2015-03-08,275.338033898305,363358.067705216
2256,2015-03-09,290.130059029807,339499.66240379604
2257,2015-03-10,292.320383109293,358360.75475956296
2258,2015-03-11,296.693329339568,363076.02784850396
2259,2015-03-12,295.800344827586,308850.38732567604
2260,2015-03-13,285.911026300409,344214.93549273803
2261,2015-03-14,283.608306253653,308850.38732567604
2262,2015-03-15,287.27014202220903,337142.025859325
2263,2015-03-16,291.392118059614,327711.47968144197
2264,2015-03-17,285.248396551724,301777.477692263
2265,2015-03-18,257.28616014026903,360718.391304033
2266,2015-03-19,262.092947983635,322996.20659250004
2267,2015-03-20,262.96649210987704,320638.57004803
2268,2015-03-21,261.18429748685,356003.11821509205
2269,2015-03-22,268.89941583869097,334537.327428476
2270,2015-03-23,266.777992986558,336739.588444724
2271,2015-03-24,246.835082992402,401765.164144395
2272,2015-03-25,246.719136762127,376219.402262381
2273,2015-03-26,249.53299357101102,343706.61441254604
2274,2015-03-27,247.378898305085,397120.48016584705
2275,2015-03-28,253.23161396843997,343706.61441254604
2276,2015-03-29,242.967614260666,355318.324358916
2277,2015-03-30,248.336934541204,329772.562476902
2278,2015-03-31,244.712485680888,348351.29839109397
2279,2015-04-01,247.185819403857,306549.142584163
2280,2015-04-02,253.630070426651,385508.770219477
2281,2015-04-03,254.83316364699,339061.930433998
2282,2015-04-04,253.945848626534,355318.324358916
2283,2015-04-05,261.11213617767396,361069.996691013
2284,2015-04-06,256.36738690824103,309707.170078885
2285,2015-04-07,254.831898012858,373614.99882532103
2286,2015-04-08,245.82521040327302,307249.17666556
2287,2015-04-09,243.860636177674,326913.123972156
2288,2015-04-10,235.87190064289902,373614.99882532103
2289,2015-04-11,237.40906779661,344119.077865427
2290,2015-04-12,237.141042372881,314623.156905534
2291,2015-04-13,225.50563588544702,383446.97247861896
2292,2015-04-14,219.757236703682,366241.018585348
2293,2015-04-15,223.313907948568,299875.196425587
2294,2015-04-16,228.49381531268298,339203.091038779
2295,2015-04-17,222.78506019871398,309707.170078885
2296,2015-04-18,223.39804412624198,358867.038345374
