,date,identity,received,nb_received,sum_fee,spent,nb_spent
0,2016-01-01,238,2145979912.0,8.0,40000.0,1401345206.0,2.0
1,2016-01-01,BTCC.com,170983942591.0,804.0,15753923.0,579874700411.0,42.0
2,2016-01-01,AnxPro.com,158123629231.0,1940.0,7749006.0,555560509761.0,105.0
3,2016-01-01,777,327971941.0,43.0,139496.0,1661586725.0,8.0
4,2016-01-01,Bitcoin.de,9144212201.0,283.0,1041110.0,6069405225.0,41.0
5,2016-01-01,Xapo.com,859674430478.0,11034.0,13870000.0,889598877286.0,1117.0
6,2016-01-01,SatoshiDice.com,3035424505.0,104.0,350000.0,2696534460.0,25.0
7,2016-01-01,BTC-e.com,118577001316.0,1663.0,8500000.0,123260897304.0,85.0
8,2016-01-01,0,101128530193.0,16118.0,29965531.0,99762795135.0,1850.0
9,2016-01-01,348,5287232848.0,127.0,142555.0,5086719560.0,18.0
10,2016-01-01,1215,467507997910.0,108.0,1851020.0,366766276475.0,33.0
11,2016-01-01,289,8435592492.0,484.0,2500000.0,9060925133.0,50.0
12,2016-01-01,PocketDice.io,470828983.0,291.0,1110000.0,569315916.0,111.0
13,2016-01-01,SatoshiMines.com,2399437225.0,430.0,2019040.0,1836001223.0,88.0
14,2016-01-01,1316,16406806848.0,40.0,170000.0,16656411187.0,17.0
15,2016-01-01,MoonBit.co.in,18409169897.0,79.0,3500000.0,17415921746.0,65.0
16,2016-01-01,1654888,41095734655.0,206.0,10150000.0,41034662858.0,203.0
17,2016-01-01,27914256,3254058457.0,19.0,850000.0,3280332277.0,17.0
18,2016-01-01,1391,170799884.0,32.0,116700.0,174732519.0,11.0
19,2016-01-01,Matbea.com,3480810472.0,75.0,575910.0,2659064185.0,14.0
20,2016-01-01,343,94262538.0,8.0,0.0,0.0,0.0
21,2016-01-01,SlushPool.com,19055875363.0,8.0,163370.0,12623181564.0,4.0
22,2016-01-01,CoinSpot.com.au,387894101.0,26.0,30092.0,521750361.0,4.0
23,2016-01-01,292,234922100.0,63.0,204768.0,206222413.0,12.0
24,2016-01-01,833,1192424968.0,54.0,140000.0,1128161343.0,12.0
25,2016-01-01,71554939,145289007802.0,261.0,13050000.0,145559313476.0,261.0
26,2016-01-01,101,970216736.0,110.0,203474.0,780562288.0,47.0
27,2016-01-01,122,9196490637.0,42.0,127010.0,13884898629.0,12.0
28,2016-01-01,Vaultoro.com,38915337.0,29.0,81120.0,15829952.0,8.0
29,2016-01-01,421,106837625150.0,2816.0,14115000.0,106819481853.0,45.0
30,2016-01-01,821,8143158947.0,50.0,298150.0,30808943026.0,29.0
31,2016-01-01,CoinTrader.net,158123629231.0,1940.0,0.0,0.0,0.0
32,2016-01-01,Bitcoin.de-old,285547998.0,28.0,95891.0,78674208.0,14.0
33,2016-01-01,Rollin.io,2155444553.0,216.0,1016980.0,2231374670.0,100.0
34,2016-01-01,Bitstamp.net,488015034129.0,368.0,1964437.0,481314532718.0,108.0
35,2016-01-01,523,2958429279.0,70.0,291120.0,2958903147.0,29.0
36,2016-01-01,700,6150885869.0,36.0,240000.0,103216211.0,11.0
37,2016-01-01,942,45788474.0,38.0,10000.0,650000.0,1.0
38,2016-01-01,16768780,274402629.0,3.0,10000.0,17512067.0,1.0
39,2016-01-01,Bitbond.com,4902494902.0,58.0,170000.0,4982599513.0,16.0
40,2016-01-01,469,479510000.0,19.0,380000.0,513950000.0,19.0
41,2016-01-01,1138,1573663485.0,136.0,670191.0,2235727739.0,17.0
42,2016-01-01,16621,101674273.0,36.0,141000.0,131588524.0,10.0
43,2016-01-01,396,111365471976.0,55.0,705000.0,119111757666.0,47.0
44,2016-01-01,107,51598724018.0,244.0,1800000.0,48486419919.0,90.0
45,2016-01-01,SafeDice.com,532809256.0,21.0,52510.0,506883942.0,5.0
46,2016-01-01,51,50593654.0,8.0,0.0,0.0,0.0
47,2016-01-01,1228047,358106919651.0,471.0,5029600.0,372161750863.0,460.0
48,2016-01-01,37,12567207996.0,25.0,137267.0,18189555879.0,8.0
49,2016-01-01,4,106558173521.0,10522.0,20253910.0,99679383623.0,26.0
50,2016-01-01,1805,15893532.0,8.0,30000.0,18936094.0,3.0
51,2016-01-01,MercadoBitcoin.com.br,1006208990.0,381.0,0.0,0.0,0.0
52,2016-01-01,999Dice.com,6937696635.0,872.0,3150000.0,6882628930.0,301.0
